Country;Region;Code;Education;Jobs;Income;Safety;Health;Environment;Civic engagement;Accessiblity to services;Housing;Community;Life satisfaction
Australia;New South Wales;AU1;8,1;8,4;6,9;9,5;8,5;9,2;10,0;7,9;7,8;8,9;7,8
Australia;Victoria;AU2;8,2;8,3;5,8;9,3;8,9;9,6;10,0;8,1;9,4;9,3;8,5
Australia;Queensland;AU3;7,6;7,9;5,8;9,5;8,3;9,3;10,0;8,1;7,8;8,6;8,1
Australia;South Australia;AU4;7,3;7,6;5,7;9,1;8,4;9,8;10,0;7,4;7,8;8,6;8,5
Australia;Western Australia;AU5;7,7;8,5;6,7;9,0;8,9;8,2;10,0;8,4;9,4;8,5;7,8
Australia;Tasmania;AU6;6,2;7,3;5,3;8,6;6,6;10,0;10,0;7,3;9,4;8,6;9,6
Australia;Northern Territory;AU7;7,8;9,3;8,6;10,0;5,5;8,0;8,1;8,6;9,4;10,0;7,0
Australia;Canberra Capital Region;AU8;9,3;9,7;10,0;10,0;9,5;10,0;10,0;9,4;9,4;9,8;9,6
Austria;Burgenland;AT11;8,7;7,9;5,3;10,0;7,1;3,3;8,8;7,9;6,1;8,3;7,8
Austria;Lower Austria;AT12;8,4;8,6;5,6;9,9;7,0;3,5;8,8;8,6;5,6;7,8;8,1
Austria;Vienna;AT13;8,4;5,5;5,2;9,4;6,4;1,8;7,0;8,6;3,9;7,6;7,8
Austria;Carinthia;AT21;9,0;8,0;5,2;10,0;7,5;5,2;7,5;7,9;5,6;8,5;8,1
Austria;Styria;AT22;8,5;8,3;5,2;10,0;7,7;4,6;7,8;8,7;5,0;8,7;8,5
Austria;Upper Austria;AT31;8,1;9,0;5,4;9,9;8,0;4,2;8,2;8,4;5,6;8,9;8,5
Austria;Salzburg;AT32;8,6;9,2;5,5;10,0;8,4;5,3;8,0;8,4;5,0;8,6;8,1
Austria;Tyrol;AT33;8,2;9,0;5,3;10,0;8,6;6,5;7,1;8,6;4,4;9,7;8,9
Austria;Vorarlberg;AT34;7,8;9,2;5,7;10,0;8,6;6,0;6,2;8,2;5,0;8,1;7,4
Belgium;Brussels-Capital Region;BE1;7,1;2,9;3,8;7,8;6,9;5,1;10,0;7,8;6,7;7,3;6,3
Belgium;Flemish Region (Vlaams Gewest);BE2;8,2;7,7;4,6;9,3;8,5;4,8;10,0;8,1;7,8;9,1;7,8
Belgium;Wallonia (Région wallonne);BE3;7,5;4,5;3,8;7,9;5,2;5,3;9,4;7,4;7,8;7,3;6,3
Canada;Newfoundland and Labrador;CA10;8,7;4,5;5,2;8,9;5,1;10,0;3,7;7,9;10,0;7,9;10,0
Canada;Prince Edward Island;CA11;8,6;6,8;4,4;10,0;6,9;10,0;7,8;7,6;9,4;4,3;10,0
Canada;Nova Scotia;CA12;9,0;7,0;4,4;8,8;6,0;10,0;5,9;7,7;10,0;8,1;8,5
