city,cityLabel,population,pa_s,pa_sLabel,coordenadas
http://www.wikidata.org/entity/Q8686,Shanghai,23390000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(121.466666666 31.166666666)
http://www.wikidata.org/entity/Q956,Beijing,21710000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.391388888 39.905)
http://www.wikidata.org/entity/Q8673,Lagos,21324000,http://www.wikidata.org/entity/Q1033,Nigeria,Point(3.4 6.45)
http://www.wikidata.org/entity/Q1490,Tokyo,13784212,http://www.wikidata.org/entity/Q17,Japan,Point(139.77 35.68)
http://www.wikidata.org/entity/Q11736,Tianjin,13245000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(117.205555555 39.146666666)
http://www.wikidata.org/entity/Q16572,Guangzhou,13080500,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(113.25 23.11667)
http://www.wikidata.org/entity/Q16572,Guangzhou,13080500,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(113.258976 23.128795)
http://www.wikidata.org/entity/Q1156,Mumbai,12442373,http://www.wikidata.org/entity/Q668,India,Point(72.833333333 18.966666666)
http://www.wikidata.org/entity/Q1156,Mumbai,12442373,http://www.wikidata.org/entity/Q668,India,Point(72.88261 19.07283)
http://www.wikidata.org/entity/Q174,São Paulo,12106920,http://www.wikidata.org/entity/Q155,Brazil,Point(-46.633947222 -23.550394444)
http://www.wikidata.org/entity/Q404763,Nanyang,12010000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(112.53278 32.99472)
http://www.wikidata.org/entity/Q404763,Nanyang,12010000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(112.52921 32.99871)
http://www.wikidata.org/entity/Q15174,Shenzhen,11908400,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(114.054 22.535)
http://www.wikidata.org/entity/Q11746,Wuhan,11895000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(114.26667 30.58333)
